time,weekday,value
0,Monday,86
1,Monday,72
2,Monday,52
3,Monday,42
4,Monday,57
5,Monday,68
6,Monday,68
7,Monday,129
8,Monday,268
9,Monday,335
10,Monday,318
11,Monday,288
12,Monday,253
13,Monday,252
14,Monday,293
15,Monday,278
16,Monday,284
17,Monday,261
18,Monday,233
19,Monday,195
20,Monday,172
21,Monday,142
22,Monday,128
23,Monday,109
0,Tuesday,103
1,Tuesday,85
2,Tuesday,77
3,Tuesday,73
4,Tuesday,100
5,Tuesday,92
6,Tuesday,91
7,Tuesday,140
8,Tuesday,263
9,Tuesday,317
10,Tuesday,300
11,Tuesday,269
12,Tuesday,244
13,Tuesday,247
14,Tuesday,295
15,Tuesday,275
16,Tuesday,273
17,Tuesday,265
18,Tuesday,236
19,Tuesday,199
20,Tuesday,169
21,Tuesday,142
22,Tuesday,128
23,Tuesday,111
0,Wednesday,97
1,Wednesday,81
2,Wednesday,70
3,Wednesday,58
4,Wednesday,86
5,Wednesday,82
6,Wednesday,81
7,Wednesday,130
8,Wednesday,249
9,Wednesday,310
10,Wednesday,290
11,Wednesday,267
12,Wednesday,246
13,Wednesday,237
14,Wednesday,282
15,Wednesday,274
16,Wednesday,288
17,Wednesday,270
18,Wednesday,237
19,Wednesday,209
20,Wednesday,182
21,Wednesday,154
22,Wednesday,135
23,Wednesday,120
0,Thursday,112
1,Thursday,98
2,Thursday,96
3,Thursday,78
4,Thursday,105
5,Thursday,104
6,Thursday,100
7,Thursday,136
8,Thursday,257
9,Thursday,322
10,Thursday,301
11,Thursday,272
12,Thursday,252
13,Thursday,256
14,Thursday,298
15,Thursday,288
16,Thursday,283
17,Thursday,269
18,Thursday,240
19,Thursday,209
20,Thursday,190
21,Thursday,160
22,Thursday,150
23,Thursday,134
0,Friday,125
1,Friday,123
2,Friday,122
3,Friday,109
4,Friday,147
5,Friday,142
6,Friday,125
7,Friday,141
8,Friday,254
9,Friday,309
10,Friday,299
11,Friday,286
12,Friday,270
13,Friday,265
14,Friday,302
15,Friday,297
16,Friday,300
17,Friday,283
18,Friday,256
19,Friday,239
20,Friday,245
21,Friday,230
22,Friday,200
23,Friday,192
0,Saturaday,205
1,Saturaday,233
2,Saturaday,245
3,Saturaday,255
4,Saturaday,313
5,Saturaday,272
6,Saturaday,244
7,Saturaday,174
8,Saturaday,156
9,Saturaday,180
10,Saturaday,183
11,Saturaday,173
12,Saturaday,190
13,Saturaday,173
14,Saturaday,189
15,Saturaday,180
16,Saturaday,184
17,Saturaday,178
18,Saturaday,184
19,Saturaday,197
20,Saturaday,217
21,Saturaday,228
22,Saturaday,196
23,Saturaday,187
0,Sunday,220
1,Sunday,261
2,Sunday,280
3,Sunday,295
4,Sunday,357
5,Sunday,319
6,Sunday,294
7,Sunday,187
8,Sunday,128
9,Sunday,121
10,Sunday,133
11,Sunday,141
12,Sunday,156
13,Sunday,148
14,Sunday,141
15,Sunday,136
16,Sunday,148
17,Sunday,142
18,Sunday,160
19,Sunday,168
20,Sunday,161
21,Sunday,153
22,Sunday,133
23,Sunday,103
